geometry,edit,control,delta,rho,seed,status,regime,support_norm,frac_within,decay_length,residual_fraction,floored_fraction,converged,n_iters,energy_final,pin_path,error_msg
blob,static_far,mask,-0.02,0.5,2,ok,contained,0.18516949339921976,0.6972613125042744,2.3747065783866628,0.32481021372585817,0.0,True,40,2.9124224213486904,,
blob,static_far,mask,0.0,0.5,0,ok,contained,0.19014344352593227,0.6804887542295854,2.442398331294744,0.35429914212941166,0.0,True,23,3.217177506117743,,
blob,static_far,mask,0.0,0.5,1,ok,contained,0.1836558469347552,0.6948551397564612,2.3961274755575594,0.3244868382145059,0.0,True,28,2.353008486399778,,
blob,static_far,mask,0.0,0.5,2,ok,contained,0.1864598377473394,0.6955244155429549,2.404096241697966,0.33197095700856544,0.0,True,42,2.8052013246081104,,
blob,static_far,mask,0.02,0.5,0,ok,contained,0.19091584611002022,0.6826430983063912,2.4992624720271275,0.35464971011192875,0.0,True,23,3.0211629036231504,,
blob,static_far,mask,0.02,0.5,1,ok,contained,0.184748031812367,0.6958366721987035,2.4432320878243208,0.32672743060617915,0.0,True,28,2.2208307191936294,,
blob,static_far,mask,0.02,0.5,2,ok,contained,0.18740183011701247,0.6964356664985074,2.450596821883894,0.3340237612481753,0.0,True,41,2.6562092751273343,,
blob,static_far,mask,0.04,0.5,0,ok,contained,0.19054362907437625,0.6862344761074501,2.5600064012806243,0.3437519341862029,0.0,True,24,2.8018379583006006,,
blob,static_far,mask,0.04,0.5,1,ok,contained,0.18480584238571546,0.6989621905107302,2.4992923894309134,0.3202833816908062,0.0,True,27,2.068239977648231,,
blob,static_far,mask,0.04,0.5,2,ok,contained,0.1874368970133803,0.6994920733117248,2.524065732919176,0.32680079031034576,0.0,True,42,2.447409554944318,,
blob,static_far,mask,-0.04,1.0,0,ok,contained,0.18815710592863463,0.6840898202132698,2.3993310986940974,0.3392126290877089,0.0,True,23,3.3675550684163515,,
blob,static_far,mask,-0.04,1.0,1,ok,contained,0.18194018115148916,0.6987135982936676,2.364926510420456,0.3144948747419246,0.0,True,26,2.4461762067511272,,
blob,static_far,mask,-0.04,1.0,2,ok,contained,0.18478939796481414,0.6989081634907676,2.3693246391310505,0.3218359776540363,0.0,True,40,2.929878035245431,,
blob,static_far,mask,-0.02,1.0,0,ok,contained,0.18815710592863463,0.6840898202132698,2.3993310986940974,0.3392126290877089,0.0,True,23,3.3675550684163515,,
blob,static_far,mask,-0.02,1.0,1,ok,contained,0.18194018115148916,0.6987135982936676,2.364926510420456,0.3144948747419246,0.0,True,26,2.4461762067511272,,
blob,static_far,mask,-0.02,1.0,2,ok,contained,0.18478939796481414,0.6989081634907676,2.3693246391310505,0.3218359776540363,0.0,True,40,2.929878035245431,,
blob,static_far,mask,0.0,1.0,0,ok,contained,0.18815710592863463,0.6840898202132698,2.3993310986940974,0.3392126290877089,0.0,True,23,3.3675550684163515,,
blob,static_far,mask,0.0,1.0,1,ok,contained,0.18194018115148916,0.6987135982936676,2.364926510420456,0.3144948747419246,0.0,True,26,2.4461762067511272,,
blob,static_far,mask,0.0,1.0,2,ok,contained,0.18478939796481414,0.6989081634907676,2.3693246391310505,0.3218359776540363,0.0,True,40,2.929878035245431,,
blob,static_far,mask,0.02,1.0,0,ok,contained,0.18815710592863463,0.6840898202132698,2.3993310986940974,0.3392126290877089,0.0,True,23,3.3675550684163515,,
